iter	Passed	Remaining
0	84	59175
1	118	41247
2	155	36118
3	221	38597
4	311	43296
5	395	45753
6	444	44041
7	493	42678
8	535	41149
9	580	40068
10	629	39406
11	668	38329
12	708	37418
13	750	36773
14	804	36741
15	832	35584
16	881	35409
17	914	34639
18	945	33871
19	985	33521
20	1016	32875
21	1043	32171
22	1071	31551
23	1108	31210
24	1177	31802
25	1243	32245
26	1276	31805
27	1314	31544
28	1358	31434
29	1396	31192
30	1441	31108
31	1483	30960
32	1509	30509
33	1538	30143
34	1566	29771
35	1599	29492
36	1637	29336
37	1673	29150
38	1704	28892
39	1740	28719
40	1789	28766
41	1828	28645
42	1867	28529
43	1898	28299
44	1926	28043
45	1970	28014
46	2011	27940
47	2043	27755
48	2078	27611
49	2111	27447
50	2161	27511
51	2200	27416
52	2242	27371
53	2281	27297
54	2330	27331
55	2376	27327
56	2420	27309
57	2465	27294
58	2490	27055
59	2525	26939
60	2567	26899
61	2602	26783
62	2641	26706
63	2685	26690
64	2745	26819
65	2795	26856
66	2835	26791
67	2906	27009
68	2970	27165
69	3021	27191
70	3055	27071
71	3098	27025
72	3167	27205
73	3203	27095
74	3245	27047
75	3287	26993
76	3333	26972
77	3359	26791
78	3409	26805
79	3449	26736
80	3510	26827
81	3551	26762
82	3585	26651
83	3631	26628
84	3670	26554
85	3722	26574
86	3762	26511
87	3789	26352
88	3835	26329
89	3880	26300
90	3922	26253
91	3977	26286
92	4035	26338
93	4068	26225
94	4101	26121
95	4144	26075
96	4194	26072
97	4222	25938
98	4262	25873
99	4293	25760
100	4329	25674
101	4366	25598
102	4394	25469
103	4418	25321
104	4461	25281
105	4516	25310
106	4564	25295
107	4627	25365
108	4703	25503
109	4764	25553
110	4807	25509
111	4846	25443
112	4881	25357
113	4940	25393
114	4985	25360
115	5031	25331
116	5063	25230
117	5096	25136
118	5134	25068
119	5165	24968
120	5202	24896
121	5231	24786
122	5270	24722
123	5311	24673
124	5368	24693
125	5409	24644
126	5473	24697
127	5511	24630
128	5549	24564
129	5577	24456
130	5608	24358
