model,feature_set,accuracy,precision,recall,f1,roc_auc
SVM,Hybrid,0.7038461538461539,0.712,0.6846153846153846,0.6980392156862745,0.7426331360946745
CatBoost,Hybrid,0.7,0.7280701754385965,0.6384615384615384,0.680327868852459,0.7832544378698224
XGB,Hybrid,0.6846153846153846,0.6935483870967742,0.6615384615384615,0.6771653543307087,0.7710059171597634
RF,Questionnaire,0.6807692307692308,0.7326732673267327,0.5692307692307692,0.6406926406926406,0.7222189349112427
RF,Hybrid,0.6692307692307692,0.6864406779661016,0.6230769230769231,0.6532258064516129,0.7448224852071006
CatBoost,Questionnaire,0.6576923076923077,0.6814159292035398,0.5923076923076923,0.6337448559670782,0.7326627218934911
SVM,Speech,0.6538461538461539,0.6587301587301587,0.6384615384615384,0.6484375,0.7008579881656805
XGB,Questionnaire,0.65,0.6611570247933884,0.6153846153846154,0.6374501992031872,0.7181656804733728
SVM,Questionnaire,0.6192307692307693,0.6396396396396397,0.5461538461538461,0.5892116182572614,0.6839940828402368
RF,Speech,0.6076923076923076,0.6166666666666667,0.5692307692307692,0.592,0.6198520710059172
CatBoost,Speech,0.6038461538461538,0.6062992125984252,0.5923076923076923,0.5992217898832685,0.6198520710059171
LogReg,Hybrid,0.5961538461538461,0.6016260162601627,0.5692307692307692,0.5849802371541502,0.6179289940828402
XGB,Speech,0.5846153846153846,0.5887096774193549,0.5615384615384615,0.5748031496062992,0.614585798816568
LogReg,Speech,0.5807692307692308,0.5867768595041323,0.5461538461538461,0.5657370517928287,0.6000295857988165
LogReg,Questionnaire,0.5423076923076923,0.544,0.5230769230769231,0.5333333333333333,0.5820710059171598
